Date,Close,High,Low,Open,Volume,Daily_Return,Volatility,MA20,MA50,EMA20,Price_Change,HL_Spread,RSI,MACD,MACD_Signal,BB_High,BB_Low,Momentum,Trend_Strength,Signal,Risk_Level
2020-03-12,542.3695068359375,575.7090661476228,539.1902074740797,573.990531621809,13965574,-0.07988335487579867,0.0258831444153802,652.7359771728516,655.0804968261718,637.7790040199116,-31.621024785871555,36.51885867354315,18.968040760968634,-19.751374421247988,-7.627038275196712,727.665165373522,577.8067889721812,-130.22198486328125,-2.344519653320276,SELL,MEDIUM
2020-03-13,551.9503784179688,573.1313402307924,489.78240469498,508.68628698145295,16903113,0.01766484188597528,0.02625749296785824,646.7769561767578,653.4564831542968,629.5549220192665,43.2640914365158,83.34893553581236,23.463248756925637,-23.97608095736655,-10.896846811630681,733.0104590257483,560.5434533277673,-116.43072509765625,-6.6795269775390125,SELL,MEDIUM
2020-03-16,501.0818176269531,534.5932470521457,498.37510427209446,534.4643359607634,19140152,-0.0921614746180951,0.0314732862060891,637.7933212280274,650.852046508789,617.2518112755955,-33.38251833381025,36.21814278005121,17.813078363769407,-31.07069541819726,-14.931616532943996,743.282249476274,532.3043929797807,-127.64407348632812,-13.058725280761678,SELL,HIGH
2020-03-17,476.85040283203125,508.6862460888613,472.5970191703948,505.3350826110837,16059887,-0.04835820008332803,0.03229294939183123,627.8473007202149,647.5687823486328,603.8134658580564,-28.484679779052442,36.08922691846652,15.854504003046245,-38.208062396298374,-19.58690570561487,752.8444499176284,502.8501515228014,-159.9095458984375,-19.721481628417905,SELL,HIGH
2020-03-18,459.10650634765625,496.65649771972056,453.69313286507344,488.06382474879115,15390183,-0.037210614437973355,0.03221975001019604,616.8851943969727,644.0535186767578,589.9696049079593,-28.9573184011349,42.963364854647125,14.58948793389628,-44.780064592751614,-24.625537483042223,759.4622978736163,474.3080909203291,-182.7662353515625,-27.16832427978511,SELL,HIGH
2020-03-19,468.7732238769531,479.47111131199466,437.58183411403814,437.58183411403814,16583991,0.02105550105616838,0.032811573041081975,606.0541229248047,640.9197692871094,578.3799450522582,31.19138976291498,41.88927719795652,18.408936724102816,-48.64762087432803,-29.429954161299385,758.7227312525141,453.38551459709527,-183.19583129882812,-34.86564636230469,SELL,HIGH
2020-03-20,502.8431396484375,530.5545048490333,470.8783916256263,472.1672923326308,21354894,0.07267888615674711,0.03839914170994411,596.80625,638.6341162109375,571.159387446299,30.67584731580672,59.67611322340696,30.248125936250574,-48.40554068154938,-33.22507146534939,750.947793802413,442.66470619758695,-145.5599365234375,-41.827866210937486,SELL,HIGH
2020-03-23,452.361328125,482.0060530911666,443.29606764618916,464.0043907747818,17146150,-0.10039276176409972,0.04277543748143807,585.1825164794922,635.17814453125,559.8074837425147,-11.643062649781825,38.70998544497746,24.561200718096657,-51.69128571549777,-36.918314315379064,745.9375803736989,424.42745258528544,-182.59423828125,-49.995628051757876,SELL,HIGH
2020-03-24,506.7957763671875,516.5484904062429,448.537471581863,448.537471581863,20027097,0.1203340004058564,0.05295606276766697,576.3299102783203,632.6286950683593,554.7434922295621,58.258304785324526,68.0110188243799,38.07988375112003,-49.33416375165905,-39.40148420263506,733.8438481696667,418.81597238697395,-98.51513671875,-56.29878479003901,SELL,HIGH
2020-03-25,520.8878784179688,545.6347676259147,486.0875507189931,512.982608303419,18339548,0.02780627366667532,0.05364673032538662,568.0723541259765,629.7527294921875,551.5103345052894,7.905270114549694,59.54721690692162,41.02623881697708,-45.80104679301451,-40.68139672071095,718.8882635558796,417.25644469607346,-68.5694580078125,-61.680375366211024,SELL,HIGH
